CUSTOMER_ID,GENDER,BIRTH_YEAR
2111697,남,1969
3571091,남,1964
2111628,남,1967
2259400,남,1974
2010653,남,1975
2088307,남,1968
2684049,남,1973
2090522,남,1970
2102503,여,1981
2124266,남,1977
2009173,남,1972
2072356,남,1965
2271921,남,1981
2199975,남,1963
2383583,남,1984
2177574,남,1969
2006673,남,1968
2508745,남,1985
2097633,남,1965
2254066,남,1983
2159100,남,1969
2822112,여,1978
3579004,남,1962
2407053,남,1980
2110336,남,1971
2017325,여,1979
2577426,남,1986
2983438,남,1988
2673116,남,1986
2528866,남,1983
2024597,남,1971
2151888,남,1970
2122071,남,1973
2196759,남,1968
2175114,남,1971
2271812,남,1981
2220994,남,1961
2369403,남,1982
2717535,남,1986
2272008,남,1982
2059492,남,1972
2115352,남,1972
2157085,여,1971
2123324,남,1967
2128766,남,1964
2193586,남,1966
3020957,남,1972
2540090,남,1967
2608618,남,1976
2577520,남,1987
2236327,남,1981
2206914,남,1965
2113588,남,1977
2147450,남,1974
2175286,남,1971
2134506,남,1972
2003858,남,1980
2112545,남,1962
2062570,남,1962
2904529,남,1964
2577628,남,1987
2015331,남,1967
2050629,남,1974
2082923,남,1965
2188610,여,1971
2215015,남,1972
2144985,남,1974
3218916,남,1967
2124951,남,1978
2704231,여,1994
2022200,남,1979
2577410,남,1981
2060328,남,1969
2033599,남,1970
2193442,남,1969
2051496,남,1979
2050805,남,1968
2085607,남,1966
2021217,남,1971
2094997,남,1970
2812082,남,1988
2120703,남,1971
2016335,남,1977
2155948,남,1978
2859882,여,1988
2197974,남,1974
2082946,남,1973
2012196,남,1979
2673128,여,1989
2029434,남,1966
2093464,남,1968
2036891,남,1969
2197772,남,1971
2169924,남,1967
2220698,남,1974
2058023,남,1970
2205096,남,1973
2543007,남,1976
2018809,남,1964
2172692,남,1968
2272707,여,1984
2179874,남,1979
2082448,남,1964
2764438,남,1986
2057940,남,1971
2102788,남,1966
2149153,남,1965
2133454,남,1967
2082156,남,1975
2312042,여,1984
2264207,남,1979
2936260,여,1989
2050412,남,1974
2128264,남,1980
2017914,남,1965
2046167,남,1968
2064677,남,1976
2622160,남,1975
2933662,여,1989
2162122,남,1968
2170341,남,1967
2151222,남,1971
2717463,남,1987
2020050,남,1979
2032158,남,1966
2048928,남,1980
2154570,남,1972
2086230,남,1980
2086898,남,1967
2936273,남,1989
2764376,남,1987
2006524,남,1967
2043283,남,1981
2048428,남,1968
2043958,여,1971
2046419,남,1973
2219666,남,1963
2537206,남,1980
2182230,남,1970
2035589,남,1969
2079627,남,1972
2224910,남,1976
2384084,남,1977
2059023,남,1965
2254756,남,1980
2068957,남,1964
2163285,남,1970
2220468,남,1968
2508692,남,1983
2040015,남,1968
2077692,남,1970
2219212,여,1973
2254710,여,1982
2066221,여,1982
2012654,남,1969
2103862,남,1973
2195253,남,1970
2192572,남,1970
